Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"verifyMatch(url, ""https://samsung-adzu4-staging.codeworldwide.com/#page/Assets?MediaChannelId=5e85e800-fd9e-e834-1d6b-39e942e7fb57&MediaChannelText=Print&CampaignID=51a8da8e-2afa-4c47-ae26-e14f01ff5e7c&CampaignText=S10%20Test%20Campaign"", false)",IE 11,,,2019-10-11 13:14:02,2019-10-11 13:14:02,0.002s,PASSED
"navigateToUrl(""https://samsung-adzu4-staging.codeworldwide.com/#page/GB/en-GB/AllDevices/S10"")",IE 11,,,2019-10-11 13:14:02,2019-10-11 13:14:04,1.236s,PASSED
"scrollToElement(findTestObject(""Home Page/Homa Page Tiles/Campaigns/Page_Samsung Marketing Cloud/h1_Available Adaptations""), 0)",IE 11,,,2019-10-11 13:14:04,2019-10-11 13:14:06,2.248s,PASSED
"click(findTestObject(""Home Page/Homa Page Tiles/Campaigns/Page_Samsung Marketing Cloud/a_PR""))",IE 11,,,2019-10-11 13:14:06,2019-10-11 13:14:09,3.294s,PASSED
delay(1),IE 11,,,2019-10-11 13:14:09,2019-10-11 13:14:10,1.002s,PASSED
url = getUrl(),IE 11,,,2019-10-11 13:14:10,2019-10-11 13:14:11,1.037s,PASSED
"verifyMatch(url, ""https://samsung-adzu4-staging.codeworldwide.com/#page/Assets?MediaChannelId=aee045f8-766b-ac5b-c1e6-39e942e8307b&MediaChannelText=PR&CampaignID=51a8da8e-2afa-4c47-ae26-e14f01ff5e7c&CampaignText=S10%20Test%20Campaign"", false)",IE 11,,,2019-10-11 13:14:11,2019-10-11 13:14:11,0.003s,PASSED
"navigateToUrl(""https://samsung-adzu4-staging.codeworldwide.com/#page/GB/en-GB/AllDevices/S10"")",IE 11,,,2019-10-11 13:14:11,2019-10-11 13:14:13,1.233s,PASSED
"scrollToElement(findTestObject(""Home Page/Homa Page Tiles/Campaigns/Page_Samsung Marketing Cloud/h1_Available Adaptations""), 0)",IE 11,,,2019-10-11 13:14:13,2019-10-11 13:14:15,2.192s,PASSED
"click(findTestObject(""Home Page/Homa Page Tiles/Campaigns/Page_Samsung Marketing Cloud/a_Events""))",IE 11,,,2019-10-11 13:14:15,2019-10-11 13:14:18,3.507s,PASSED
delay(1),IE 11,,,2019-10-11 13:14:18,2019-10-11 13:14:19,1.001s,PASSED
url = getUrl(),IE 11,,,2019-10-11 13:14:19,2019-10-11 13:14:20,1.027s,PASSED
"verifyMatch(url, ""https://samsung-adzu4-staging.codeworldwide.com/#page/Assets?MediaChannelId=d92b26b7-8819-05b5-3c42-39e942e868a3&MediaChannelText=Events&CampaignID=51a8da8e-2afa-4c47-ae26-e14f01ff5e7c&CampaignText=S10%20Test%20Campaign"", false)",IE 11,,,2019-10-11 13:14:20,2019-10-11 13:14:20,0.002s,PASSED
"navigateToUrl(""https://samsung-adzu4-staging.codeworldwide.com/#page/GB/en-GB/AllDevices/S10"")",IE 11,,,2019-10-11 13:14:20,2019-10-11 13:14:21,1.234s,PASSED
"scrollToElement(findTestObject(""Home Page/Homa Page Tiles/Campaigns/Page_Samsung Marketing Cloud/h1_Available Adaptations""), 0)",IE 11,,,2019-10-11 13:14:21,2019-10-11 13:14:24,2.184s,PASSED
"click(findTestObject(""Home Page/Homa Page Tiles/Campaigns/Page_Samsung Marketing Cloud/a_Partnerships""))",IE 11,,,2019-10-11 13:14:24,2019-10-11 13:14:27,3.545s,PASSED
delay(1),IE 11,,,2019-10-11 13:14:27,2019-10-11 13:14:28,1.002s,PASSED
url = getUrl(),IE 11,,,2019-10-11 13:14:28,2019-10-11 13:14:29,1.027s,PASSED
"verifyMatch(url, ""https://samsung-adzu4-staging.codeworldwide.com/#page/Assets?MediaChannelId=81245dbf-22f9-2849-1b99-39e942e97661&MediaChannelText=Partnerships&CampaignID=51a8da8e-2afa-4c47-ae26-e14f01ff5e7c&CampaignText=S10%20Test%20Campaign"", false)",IE 11,,,2019-10-11 13:14:29,2019-10-11 13:14:29,0.002s,PASSED
,,,,,,,
Test Cases/Login and Logout - Notifications/Logout - Yes Button,IE 11,,,2019-10-11 13:14:29,2019-10-11 13:14:41,11.432s,PASSED
"click(findTestObject(""Logout/Page_Samsung Marketing Cloud/span_gandhi""))",IE 11,,,2019-10-11 13:14:29,2019-10-11 13:14:33,3.132s,PASSED
"click(findTestObject(""Logout/Page_Samsung Marketing Cloud/Logout""))",IE 11,,,2019-10-11 13:14:33,2019-10-11 13:14:36,3.090s,PASSED
"click(findTestObject(""Logout/Page_Samsung Marketing Cloud/button_Yes""))",IE 11,,,2019-10-11 13:14:36,2019-10-11 13:14:39,3.417s,PASSED
closeBrowser(),IE 11,,,2019-10-11 13:14:39,2019-10-11 13:14:41,1.624s,PASSED
