Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"scrollToElement(findTestObject(""Home Page/Homa Page Tiles/Campaigns/Page_Samsung Marketing Cloud/h1_Available Adaptations""), 0)",IE 11,,,2019-10-11 13:38:53,2019-10-11 13:38:55,2.178s,PASSED
"click(findTestObject(""Home Page/Homa Page Tiles/Campaigns/Page_Samsung Marketing Cloud/a_Customer support""))",IE 11,,,2019-10-11 13:38:55,2019-10-11 13:38:59,3.538s,PASSED
delay(1),IE 11,,,2019-10-11 13:38:59,2019-10-11 13:39:00,1.002s,PASSED
url = getUrl(),IE 11,,,2019-10-11 13:39:00,2019-10-11 13:39:01,1.049s,PASSED
"verifyMatch(url, ""https://samsung-adzu4-staging.codeworldwide.com/#page/Assets?MediaChannelId=fb8329fc-9545-1ceb-e72d-39e942e67719&MediaChannelText=%09Customer%20Care%20Services&CampaignID=51a8da8e-2afa-4c47-ae26-e14f01ff5e7c&CampaignText=S10%20Test%20Campaign"", false)",IE 11,,,2019-10-11 13:39:01,2019-10-11 13:39:01,0.002s,PASSED
"navigateToUrl(""https://samsung-adzu4-staging.codeworldwide.com/#page/GB/en-GB/AllDevices/S10"")",IE 11,,,2019-10-11 13:39:01,2019-10-11 13:39:02,1.243s,PASSED
"scrollToElement(findTestObject(""Home Page/Homa Page Tiles/Campaigns/Page_Samsung Marketing Cloud/h1_Available Adaptations""), 0)",IE 11,,,2019-10-11 13:39:02,2019-10-11 13:39:05,2.239s,PASSED
"click(findTestObject(""Home Page/Homa Page Tiles/Campaigns/Page_Samsung Marketing Cloud/a_eRetail""))",IE 11,,,2019-10-11 13:39:05,2019-10-11 13:39:08,3.487s,PASSED
delay(1),IE 11,,,2019-10-11 13:39:08,2019-10-11 13:39:09,1.003s,PASSED
url = getUrl(),IE 11,,,2019-10-11 13:39:09,2019-10-11 13:39:10,1.037s,PASSED
"verifyMatch(url, ""https://samsung-adzu4-staging.codeworldwide.com/#page/Assets?MediaChannelId=2e70a285-f254-76e1-b316-39e942e56d30&MediaChannelText=eRetail&CampaignID=51a8da8e-2afa-4c47-ae26-e14f01ff5e7c&CampaignText=S10%20Test%20Campaign"", false)",IE 11,,,2019-10-11 13:39:10,2019-10-11 13:39:10,0.002s,PASSED
"navigateToUrl(""https://samsung-adzu4-staging.codeworldwide.com/#page/GB/en-GB/AllDevices/S10"")",IE 11,,,2019-10-11 13:39:10,2019-10-11 13:39:11,1.236s,PASSED
"scrollToElement(findTestObject(""Home Page/Homa Page Tiles/Campaigns/Page_Samsung Marketing Cloud/h1_Available Adaptations""), 0)",IE 11,,,2019-10-11 13:39:11,2019-10-11 13:39:14,2.264s,PASSED
"click(findTestObject(""Home Page/Homa Page Tiles/Campaigns/Page_Samsung Marketing Cloud/a_Retail marketing""))",IE 11,,,2019-10-11 13:39:14,2019-10-11 13:39:17,3.450s,PASSED
delay(1),IE 11,,,2019-10-11 13:39:17,2019-10-11 13:39:18,1.002s,PASSED
url = getUrl(),IE 11,,,2019-10-11 13:39:18,2019-10-11 13:39:19,1.028s,PASSED
"verifyMatch(url, ""https://samsung-adzu4-staging.codeworldwide.com/#page/Assets?MediaChannelId=5e98f30f-0197-d02e-ff7c-39e942e93d93&MediaChannelText=Retail%20Marketing&CampaignID=51a8da8e-2afa-4c47-ae26-e14f01ff5e7c&CampaignText=S10%20Test%20Campaign"", false)",IE 11,,,2019-10-11 13:39:19,2019-10-11 13:39:19,0.001s,PASSED
"navigateToUrl(""https://samsung-adzu4-staging.codeworldwide.com/#page/GB/en-GB/AllDevices/S10"")",IE 11,,,2019-10-11 13:39:19,2019-10-11 13:39:20,1.235s,PASSED
"scrollToElement(findTestObject(""Home Page/Homa Page Tiles/Campaigns/Page_Samsung Marketing Cloud/h1_Available Adaptations""), 0)",IE 11,,,2019-10-11 13:39:20,2019-10-11 13:39:22,2.201s,PASSED
"click(findTestObject(""Home Page/Homa Page Tiles/Campaigns/Page_Samsung Marketing Cloud/a_Digital media""))",IE 11,,,2019-10-11 13:39:22,2019-10-11 13:39:26,3.484s,PASSED
delay(1),IE 11,,,2019-10-11 13:39:26,2019-10-11 13:39:27,1.002s,PASSED
url = getUrl(),IE 11,,,2019-10-11 13:39:27,2019-10-11 13:39:28,1.039s,PASSED
"verifyMatch(url, ""https://samsung-adzu4-staging.codeworldwide.com/#page/Assets?MediaChannelId=fd3717a5-4374-4940-3df3-39e942e5ea44&MediaChannelText=Digital%20Media&CampaignID=51a8da8e-2afa-4c47-ae26-e14f01ff5e7c&CampaignText=S10%20Test%20Campaign"", false)",IE 11,,,2019-10-11 13:39:28,2019-10-11 13:39:28,0.002s,PASSED
"navigateToUrl(""https://samsung-adzu4-staging.codeworldwide.com/#page/GB/en-GB/AllDevices/S10"")",IE 11,,,2019-10-11 13:39:28,2019-10-11 13:39:29,1.236s,PASSED
"scrollToElement(findTestObject(""Home Page/Homa Page Tiles/Campaigns/Page_Samsung Marketing Cloud/h1_Available Adaptations""), 0)",IE 11,,,2019-10-11 13:39:29,2019-10-11 13:39:31,2.205s,PASSED
"click(findTestObject(""Home Page/Homa Page Tiles/Campaigns/Page_Samsung Marketing Cloud/a_CDM""))",IE 11,,,2019-10-11 13:39:31,2019-10-11 13:39:35,3.475s,PASSED
delay(1),IE 11,,,2019-10-11 13:39:35,2019-10-11 13:39:36,1.002s,PASSED
url = getUrl(),IE 11,,,2019-10-11 13:39:36,2019-10-11 13:39:37,1.026s,PASSED
"verifyMatch(url, ""https://samsung-adzu4-staging.codeworldwide.com/#page/Assets?MediaChannelId=e66cdcea-6007-2467-35e9-39e942e6aae3&MediaChannelText=CDM&CampaignID=51a8da8e-2afa-4c47-ae26-e14f01ff5e7c&CampaignText=S10%20Test%20Campaign"", false)",IE 11,,,2019-10-11 13:39:37,2019-10-11 13:39:37,0.001s,PASSED
"navigateToUrl(""https://samsung-adzu4-staging.codeworldwide.com/#page/GB/en-GB/AllDevices/S10"")",IE 11,,,2019-10-11 13:39:37,2019-10-11 13:39:38,1.243s,PASSED
"scrollToElement(findTestObject(""Home Page/Homa Page Tiles/Campaigns/Page_Samsung Marketing Cloud/h1_Available Adaptations""), 0)",IE 11,,,2019-10-11 13:39:38,2019-10-11 13:39:40,2.199s,PASSED
"click(findTestObject(""Home Page/Homa Page Tiles/Campaigns/Page_Samsung Marketing Cloud/a_Social""))",IE 11,,,2019-10-11 13:39:40,2019-10-11 13:39:44,3.482s,PASSED
delay(1),IE 11,,,2019-10-11 13:39:44,2019-10-11 13:39:45,1.002s,PASSED
url = getUrl(),IE 11,,,2019-10-11 13:39:45,2019-10-11 13:39:46,1.033s,PASSED
"verifyMatch(url, ""https://samsung-adzu4-staging.codeworldwide.com/#page/Assets?MediaChannelId=8aa42629-2b35-f82d-6471-39e942e63134&MediaChannelText=Social&CampaignID=51a8da8e-2afa-4c47-ae26-e14f01ff5e7c&CampaignText=S10%20Test%20Campaign"", false)",IE 11,,,2019-10-11 13:39:46,2019-10-11 13:39:46,0.001s,PASSED
"navigateToUrl(""https://samsung-adzu4-staging.codeworldwide.com/#page/GB/en-GB/AllDevices/S10"")",IE 11,,,2019-10-11 13:39:46,2019-10-11 13:39:47,1.240s,PASSED
"scrollToElement(findTestObject(""Home Page/Homa Page Tiles/Campaigns/Page_Samsung Marketing Cloud/h1_Available Adaptations""), 0)",IE 11,,,2019-10-11 13:39:47,2019-10-11 13:39:49,2.220s,PASSED
"click(findTestObject(""Home Page/Homa Page Tiles/Campaigns/Page_Samsung Marketing Cloud/a_TVC""))",IE 11,,,2019-10-11 13:39:49,2019-10-11 13:39:53,3.462s,PASSED
delay(1),IE 11,,,2019-10-11 13:39:53,2019-10-11 13:39:54,1.002s,PASSED
url = getUrl(),IE 11,,,2019-10-11 13:39:54,2019-10-11 13:39:55,1.027s,PASSED
"verifyMatch(url, ""https://samsung-adzu4-staging.codeworldwide.com/#page/Assets?MediaChannelId=faad2f4d-3e9b-e423-0e58-39e942e7549f&MediaChannelText=TVC&CampaignID=51a8da8e-2afa-4c47-ae26-e14f01ff5e7c&CampaignText=S10%20Test%20Campaign"", false)",IE 11,,,2019-10-11 13:39:55,2019-10-11 13:39:55,0.002s,PASSED
"navigateToUrl(""https://samsung-adzu4-staging.codeworldwide.com/#page/GB/en-GB/AllDevices/S10"")",IE 11,,,2019-10-11 13:39:55,2019-10-11 13:39:56,1.241s,PASSED
"scrollToElement(findTestObject(""Home Page/Homa Page Tiles/Campaigns/Page_Samsung Marketing Cloud/h1_Available Adaptations""), 0)",IE 11,,,2019-10-11 13:39:56,2019-10-11 13:39:58,2.250s,PASSED
"click(findTestObject(""Home Page/Homa Page Tiles/Campaigns/Page_Samsung Marketing Cloud/a_OOH""))",IE 11,,,2019-10-11 13:39:58,2019-10-11 13:40:02,3.524s,PASSED
delay(1),IE 11,,,2019-10-11 13:40:02,2019-10-11 13:40:03,1.002s,PASSED
url = getUrl(),IE 11,,,2019-10-11 13:40:03,2019-10-11 13:40:04,1.061s,PASSED
"verifyMatch(url, ""https://samsung-adzu4-staging.codeworldwide.com/#page/Assets?MediaChannelId=9646ec57-a493-cca4-29f4-39e942e908d2&MediaChannelText=Outdoor&CampaignID=51a8da8e-2afa-4c47-ae26-e14f01ff5e7c&CampaignText=S10%20Test%20Campaign"", false)",IE 11,,,2019-10-11 13:40:04,2019-10-11 13:40:04,0.002s,PASSED
"navigateToUrl(""https://samsung-adzu4-staging.codeworldwide.com/#page/GB/en-GB/AllDevices/S10"")",IE 11,,,2019-10-11 13:40:04,2019-10-11 13:40:05,1.236s,PASSED
"scrollToElement(findTestObject(""Home Page/Homa Page Tiles/Campaigns/Page_Samsung Marketing Cloud/h1_Available Adaptations""), 0)",IE 11,,,2019-10-11 13:40:05,2019-10-11 13:40:07,2.217s,PASSED
"click(findTestObject(""Home Page/Homa Page Tiles/Campaigns/Page_Samsung Marketing Cloud/a_Print""))",IE 11,,,2019-10-11 13:40:07,2019-10-11 13:40:11,3.528s,PASSED
delay(1),IE 11,,,2019-10-11 13:40:11,2019-10-11 13:40:12,1.001s,PASSED
url = getUrl(),IE 11,,,2019-10-11 13:40:12,2019-10-11 13:40:13,1.037s,PASSED
"verifyMatch(url, ""https://samsung-adzu4-staging.codeworldwide.com/#page/Assets?MediaChannelId=5e85e800-fd9e-e834-1d6b-39e942e7fb57&MediaChannelText=Print&CampaignID=51a8da8e-2afa-4c47-ae26-e14f01ff5e7c&CampaignText=S10%20Test%20Campaign"", false)",IE 11,,,2019-10-11 13:40:13,2019-10-11 13:40:13,0.001s,PASSED
"navigateToUrl(""https://samsung-adzu4-staging.codeworldwide.com/#page/GB/en-GB/AllDevices/S10"")",IE 11,,,2019-10-11 13:40:13,2019-10-11 13:40:14,1.235s,PASSED
"scrollToElement(findTestObject(""Home Page/Homa Page Tiles/Campaigns/Page_Samsung Marketing Cloud/h1_Available Adaptations""), 0)",IE 11,,,2019-10-11 13:40:14,2019-10-11 13:40:16,2.260s,PASSED
"click(findTestObject(""Home Page/Homa Page Tiles/Campaigns/Page_Samsung Marketing Cloud/a_PR""))",IE 11,,,2019-10-11 13:40:16,2019-10-11 13:40:20,3.400s,PASSED
delay(1),IE 11,,,2019-10-11 13:40:20,2019-10-11 13:40:21,1.002s,PASSED
url = getUrl(),IE 11,,,2019-10-11 13:40:21,2019-10-11 13:40:22,1.030s,PASSED
"verifyMatch(url, ""https://samsung-adzu4-staging.codeworldwide.com/#page/Assets?MediaChannelId=aee045f8-766b-ac5b-c1e6-39e942e8307b&MediaChannelText=PR&CampaignID=51a8da8e-2afa-4c47-ae26-e14f01ff5e7c&CampaignText=S10%20Test%20Campaign"", false)",IE 11,,,2019-10-11 13:40:22,2019-10-11 13:40:22,0.003s,PASSED
"navigateToUrl(""https://samsung-adzu4-staging.codeworldwide.com/#page/GB/en-GB/AllDevices/S10"")",IE 11,,,2019-10-11 13:40:22,2019-10-11 13:40:23,1.236s,PASSED
"scrollToElement(findTestObject(""Home Page/Homa Page Tiles/Campaigns/Page_Samsung Marketing Cloud/h1_Available Adaptations""), 0)",IE 11,,,2019-10-11 13:40:23,2019-10-11 13:40:25,2.221s,PASSED
"click(findTestObject(""Home Page/Homa Page Tiles/Campaigns/Page_Samsung Marketing Cloud/a_Events""))",IE 11,,,2019-10-11 13:40:25,2019-10-11 13:40:29,3.499s,PASSED
delay(1),IE 11,,,2019-10-11 13:40:29,2019-10-11 13:40:30,1.001s,PASSED
url = getUrl(),IE 11,,,2019-10-11 13:40:30,2019-10-11 13:40:31,1.027s,PASSED
"verifyMatch(url, ""https://samsung-adzu4-staging.codeworldwide.com/#page/Assets?MediaChannelId=d92b26b7-8819-05b5-3c42-39e942e868a3&MediaChannelText=Events&CampaignID=51a8da8e-2afa-4c47-ae26-e14f01ff5e7c&CampaignText=S10%20Test%20Campaign"", false)",IE 11,,,2019-10-11 13:40:31,2019-10-11 13:40:31,0.002s,PASSED
"navigateToUrl(""https://samsung-adzu4-staging.codeworldwide.com/#page/GB/en-GB/AllDevices/S10"")",IE 11,,,2019-10-11 13:40:31,2019-10-11 13:40:32,1.236s,PASSED
"scrollToElement(findTestObject(""Home Page/Homa Page Tiles/Campaigns/Page_Samsung Marketing Cloud/h1_Available Adaptations""), 0)",IE 11,,,2019-10-11 13:40:32,2019-10-11 13:40:34,2.189s,PASSED
"click(findTestObject(""Home Page/Homa Page Tiles/Campaigns/Page_Samsung Marketing Cloud/a_Partnerships""))",IE 11,,,2019-10-11 13:40:34,2019-10-11 13:40:38,3.410s,PASSED
delay(1),IE 11,,,2019-10-11 13:40:38,2019-10-11 13:40:39,1.001s,PASSED
url = getUrl(),IE 11,,,2019-10-11 13:40:39,2019-10-11 13:40:40,1.028s,PASSED
"verifyMatch(url, ""https://samsung-adzu4-staging.codeworldwide.com/#page/Assets?MediaChannelId=81245dbf-22f9-2849-1b99-39e942e97661&MediaChannelText=Partnerships&CampaignID=51a8da8e-2afa-4c47-ae26-e14f01ff5e7c&CampaignText=S10%20Test%20Campaign"", false)",IE 11,,,2019-10-11 13:40:40,2019-10-11 13:40:40,0.001s,PASSED
,,,,,,,
Test Cases/Login and Logout - Notifications/Logout - Yes Button,IE 11,,,2019-10-11 13:40:40,2019-10-11 13:40:51,11.444s,PASSED
"click(findTestObject(""Logout/Page_Samsung Marketing Cloud/span_gandhi""))",IE 11,,,2019-10-11 13:40:40,2019-10-11 13:40:43,3.133s,PASSED
"click(findTestObject(""Logout/Page_Samsung Marketing Cloud/Logout""))",IE 11,,,2019-10-11 13:40:43,2019-10-11 13:40:46,3.125s,PASSED
"click(findTestObject(""Logout/Page_Samsung Marketing Cloud/button_Yes""))",IE 11,,,2019-10-11 13:40:46,2019-10-11 13:40:50,3.358s,PASSED
closeBrowser(),IE 11,,,2019-10-11 13:40:50,2019-10-11 13:40:51,1.658s,PASSED
